rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
1670,Kepler-157,d,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,3,7.02573474,,5866,1.02,1.03,5/10/16,Kepler-157 d,,1.46,2016,3,802
1671,Kepler-1570,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,26.548955,,5550,0.92,0.89,5/10/16,Kepler-1570 b,,1.07,2016,3,600
1672,Kepler-1571,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,3.38555488,,6297,1.23,1.39,5/10/16,Kepler-1571 b,,1.52,2016,3,1180
1673,Kepler-1572,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,5.49548621,,5618,0.97,0.95,5/10/16,Kepler-1572 b,,0.94,2016,3,1275
1674,Kepler-1573,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,2.6157554,,5808,1.01,1,5/10/16,Kepler-1573 b,,1.2,2016,3,1170
1675,Kepler-1574,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,6.9424334,,5892,1.06,1.08,5/10/16,Kepler-1574 b,,1.29,2016,3,539
1676,Kepler-1575,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,2.55314213,,5667,0.95,0.92,5/10/16,Kepler-1575 b,,1.31,2016,3,543
1677,Kepler-1576,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,6.98471973,,5876,1.05,1.06,5/10/16,Kepler-1576 b,,1.04,2016,3,1016
1678,Kepler-1577,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,6.30560247,,4862,0.78,0.74,5/10/16,Kepler-1577 b,,1.13,2016,3,466
1679,Kepler-1578,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,1.45088691,,5545,0.9,0.86,5/10/16,Kepler-1578 b,,1.04,2016,3,
1680,Kepler-1579,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,0.84990789,,4584,0.75,0.7,5/10/16,Kepler-1579 b,,0.84,2016,3,
